target_id	length	eff_length	est_counts	tpm
lcl|NC_005966.1_cds_WP_004930068.1_1	1398	1226.76	530	240.025
lcl|NC_005966.1_cds_WP_004930066.1_2	1149	977.758	373	211.942
lcl|NC_005966.1_cds_WP_004930061.1_3	1077	905.758	295	180.946
lcl|NC_005966.1_cds_WP_004930060.1_4	2469	2297.76	2044	494.216
lcl|NC_005966.1_cds_WP_004930057.1_5	237	80.5394	8	55.1851
lcl|NC_005966.1_cds_WP_004930055.1_6	1935	1763.76	114	35.9092
lcl|NC_005966.1_cds_WP_004930052.1_7	1011	839.758	133	87.9908
lcl|NC_005966.1_cds_WP_004930050.1_8	1005	833.758	88	58.6385
lcl|NC_005966.1_cds_WP_004930046.1_9	336	167.663	1144	3790.78
lcl|NC_005966.1_cds_WP_004930042.1_10	1131	959.758	178	103.038
lcl|NC_005966.1_cds_WP_017385059.1_11	1233	1061.76	150	78.4884
lcl|NC_005966.1_cds_WP_004930036.1_12	255	95.0196	29	169.561
lcl|NC_005966.1_cds_WP_227499412.1_13	1902	1730.76	196	62.9158
lcl|NC_005966.1_cds_WP_004930985.1_14	615	443.792	59	73.8605
lcl|NC_005966.1_cds_WP_004930982.1_15	312	145.364	15	57.3291
lcl|NC_005966.1_cds_WP_004930980.1_16	543	371.847	39	58.2694
lcl|NC_005966.1_cds_WP_004930977.1_17	483	312.041	93	165.582
lcl|NC_005966.1_cds_WP_004930972.1_18	540	368.847	162	244.011
lcl|NC_005966.1_cds_WP_004930969.1_19	2838	2666.76	1215	253.124
lcl|NC_005966.1_cds_WP_004930967.1_20	1002	830.758	162	108.338
lcl|NC_005966.1_cds_WP_004930964.1_21	1125	953.758	22	12.8152
lcl|NC_005966.1_cds_WP_004930959.1_22	801	629.758	75	66.1649
lcl|NC_005966.1_cds_WP_004930956.1_23	618	446.792	64	79.5819
lcl|NC_005966.1_cds_WP_004930951.1_24	1110	938.758	8	4.73452
lcl|NC_005966.1_cds_WP_004930948.1_25	738	566.758	11	10.7829
lcl|NC_005966.1_cds_WP_004930944.1_26	381	211.229	9	23.6717
lcl|NC_005966.1_cds_WP_227499424.1_27	516	344.899	6	9.66493
lcl|NC_005966.1_cds_WP_004930938.1_28	1365	1193.76	58	26.993
lcl|NC_005966.1_cds_WP_004930936.1_29	873	701.758	22	17.4171
lcl|NC_005966.1_cds_WP_004930933.1_30	801	629.758	10	8.82198
lcl|NC_005966.1_cds_WP_004930931.1_31	801	629.758	5	4.41099
lcl|NC_005966.1_cds_WP_004930930.1_32	1191	1019.76	7	3.81365
lcl|NC_005966.1_cds_WP_004930927.1_33	1008	836.758	5	3.31979
lcl|NC_005966.1_cds_WP_026057001.1_34	975	803.758	6	4.1473
lcl|NC_005966.1_cds_WP_004930920.1_35	1356	1184.76	64	30.0117
lcl|NC_005966.1_cds_WP_004930917.1_36	303	137.185	13	52.6472
lcl|NC_005966.1_cds_WP_004930916.1_37	387	217.152	76	194.442
lcl|NC_005966.1_cds_WP_004930912.1_38	747	575.758	298	287.552
lcl|NC_005966.1_cds_WP_171056892.1_39	711	539.758	110	113.223
lcl|NC_005966.1_cds_WP_004930907.1_40	717	545.758	246	250.423
lcl|NC_005966.1_cds_WP_004930904.1_41	621	449.792	253	312.499
lcl|NC_005966.1_cds_WP_004930900.1_42	639	467.792	72	85.5105
lcl|NC_005966.1_cds_WP_004930896.1_43	636	464.792	187	223.523
lcl|NC_005966.1_cds_WP_004930891.1_44	1023	851.758	1660	1082.76
lcl|NC_005966.1_cds_WP_171056893.1_45	1146	974.758	703	400.681
lcl|NC_005966.1_cds_WP_004930887.1_46	717	545.758	308	313.538
lcl|NC_005966.1_cds_WP_004930883.1_47	444	273.203	46	93.5432
lcl|NC_005966.1_cds_WP_004930880.1_48	549	377.82	73	107.344
lcl|NC_005966.1_cds_WP_004930875.1_49	633	461.792	50	60.1538
lcl|NC_005966.1_cds_WP_004930874.1_50	447	276.144	19	38.2259
lcl|NC_005966.1_cds_51	884	712.758	13	10.1331
lcl|NC_005966.1_cds_WP_004930868.1_52	183	43.1107	5	64.4355
lcl|NC_005966.1_cds_WP_004930863.1_53	846	674.758	47	38.6981
lcl|NC_005966.1_cds_WP_004930861.1_54	591	419.792	97	128.374
lcl|NC_005966.1_cds_WP_004930858.1_55	1548	1376.76	243	98.0593
lcl|NC_005966.1_cds_WP_026057002.1_56	696	524.758	110	116.459
lcl|NC_005966.1_cds_WP_004930852.1_57	708	536.758	111	114.891
lcl|NC_005966.1_cds_WP_026057003.1_58	2205	2033.76	750	204.881
lcl|NC_005966.1_cds_WP_004930846.1_59	429	258.356	75	161.281
lcl|NC_005966.1_cds_WP_004930843.1_60	1104	932.758	563	335.335
lcl|NC_005966.1_cds_WP_004930841.1_61	1164	992.758	195	109.127
lcl|NC_005966.1_cds_WP_004930839.1_62	873	701.758	51	40.3759
lcl|NC_005966.1_cds_WP_004930836.1_63	930	758.758	35	25.6274
lcl|NC_005966.1_cds_WP_004930832.1_64	1251	1079.76	107	55.0551
lcl|NC_005966.1_cds_WP_026057004.1_65	1068	896.758	670	415.087
lcl|NC_005966.1_cds_WP_011181960.1_66	909	737.758	686	516.595
lcl|NC_005966.1_cds_WP_004930823.1_67	900	728.758	753	574.052
lcl|NC_005966.1_cds_WP_004930821.1_68	564	392.792	342	483.73
lcl|NC_005966.1_cds_WP_004930819.1_69	1080	908.758	80	48.9082
lcl|NC_005966.1_cds_WP_004930816.1_70	948	776.758	198	141.618
lcl|NC_005966.1_cds_WP_011181961.1_71	966	794.758	64	44.7389
lcl|NC_005966.1_cds_WP_004930811.1_72	1020	848.758	135	88.3669
lcl|NC_005966.1_cds_WP_004930808.1_73	798	626.758	168	148.919
lcl|NC_005966.1_cds_WP_004930806.1_74	1419	1247.76	240	106.861
lcl|NC_005966.1_cds_WP_004930805.1_75	1281	1109.76	406	203.253
lcl|NC_005966.1_cds_WP_011181963.1_76	1032	860.758	495	319.495
lcl|NC_005966.1_cds_WP_004930799.1_77	1296	1124.76	336	165.966
lcl|NC_005966.1_cds_WP_004930796.1_78	1101	929.758	195	116.521
lcl|NC_005966.1_cds_WP_004930792.1_79	1092	920.758	199	120.074
lcl|NC_005966.1_cds_WP_004930788.1_80	1149	977.758	274	155.689
lcl|NC_005966.1_cds_WP_004930785.1_81	615	443.792	136	170.255
lcl|NC_005966.1_cds_WP_004930781.1_82	687	515.758	143	154.039
lcl|NC_005966.1_cds_WP_004930778.1_83	1176	1004.76	233	128.835
lcl|NC_005966.1_cds_WP_011181965.1_84	1890	1718.76	393	127.033
lcl|NC_005966.1_cds_WP_004930767.1_85	1365	1193.76	413	192.209
lcl|NC_005966.1_cds_WP_004930764.1_86	876	704.758	447	352.377
lcl|NC_005966.1_cds_WP_004930762.1_87	1272	1100.76	673	339.675
lcl|NC_005966.1_cds_WP_004930760.1_88	1674	1502.76	1156	427.375
lcl|NC_005966.1_cds_WP_004930756.1_89	1020	848.758	817	534.784
lcl|NC_005966.1_cds_WP_004930753.1_90	1650	1478.76	365	137.131
lcl|NC_005966.1_cds_WP_004930750.1_91	1374	1202.76	277	127.95
lcl|NC_005966.1_cds_WP_004930747.1_92	900	728.758	75	57.1765
lcl|NC_005966.1_cds_WP_171056884.1_93	1662	1490.76	472	175.904
lcl|NC_005966.1_cds_WP_004930741.1_94	753	581.758	162	154.708
lcl|NC_005966.1_cds_WP_004930738.1_95	1155	983.758	435	245.664
lcl|NC_005966.1_cds_WP_004930735.1_96	1710	1538.76	659	237.933
lcl|NC_005966.1_cds_WP_004930731.1_97	1458	1286.76	721	311.299
lcl|NC_005966.1_cds_WP_004930728.1_98	264	102.601	15	81.2228
lcl|NC_005966.1_cds_WP_004930725.1_99	1215	1043.76	217	115.505
lcl|NC_005966.1_cds_100	157	29.613	1	18.7611
lcl|NC_005966.1_cds_WP_004930722.1_101	471	300.062	26	48.1395
lcl|NC_005966.1_cds_WP_004930721.1_102	1260	1088.76	3636	1855.38
lcl|NC_005966.1_cds_WP_004930719.1_103	1098	926.758	1091	654.031
lcl|NC_005966.1_cds_WP_004930717.1_104	360	190.694	119	346.697
lcl|NC_005966.1_cds_WP_004930716.1_105	1425	1253.76	1408	623.92
lcl|NC_005966.1_cds_WP_004930714.1_106	522	350.899	1458	2308.42
lcl|NC_005966.1_cds_WP_004930713.1_107	753	581.758	254	242.567
lcl|NC_005966.1_cds_WP_227499413.1_108	2613	2441.76	670	152.445
lcl|NC_005966.1_cds_WP_004930708.1_109	1425	1253.76	518	229.539
